"File","Line","Pattern","Severity","Code"
"app_routes.dart","381","InvalidIndexing","CRITICAL","final userId = queryParams['userId'] as String?;"
"app_routes.dart","446","InvalidIndexing","CRITICAL","final userId = queryParams['userId'] as String?;"
"auth_gate.dart","23","SnapshotDataAssertion","CRITICAL","final user = snapshot.data!;"
"auth_gate.dart","48","SnapshotDataAssertion","CRITICAL","if (profileSnapshot.hasData && profileSnapshot.data != null && profileSnapshot.data!.exists) {"
"auth_gate.dart","49","SnapshotDataAssertion","CRITICAL","final profileData = profileSnapshot.data!.data() as Map<String, dynamic>?;"
"home_simple.dart","276","SnapshotDataAssertion","CRITICAL","final userData = snapshot.data!.data() as Map<String, dynamic>?;"
"home_simple.dart","429","SnapshotDataAssertion","CRITICAL","if (!snapshot.hasData || snapshot.data == null || snapshot.data!.docs.isEmpty) {"
"PHASE_11_STABILITY_USAGE_EXAMPLES.dart","30","UnsafeTextInterpolation","MEDIUM","builder: (user) => Text('Hello ${user.name}'),"
"controllers\room_video_state_controller.dart","31","FirestoreDataAssertion","HIGH","final data = snapshot.data()!;"
"core\autonomy\community_ai_service.dart","802","InvalidIndexing","CRITICAL","featureName: t['name'] as String,"
"core\autonomy\governance_dashboard.dart","102","UnsafeTextInterpolation","MEDIUM","Text('Error: $_error'),"
"core\autonomy\policy_engine.dart","539","InvalidIndexing","CRITICAL","final userId = content['userId'] as String?;"
"core\ecosystem\ecosystem_dashboard.dart","589","UnsafeTextInterpolation","MEDIUM","subtitle: Text('${campaign.target.name.toUpperCase()} • ${campaign.type.name}'),"
"core\ecosystem\ecosystem_dashboard.dart","1047","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to create campaign: $e')),"
"core\ecosystem\ecosystem_dashboard.dart","1075","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Opening campaign: ${campaign.name}')),"
"core\ecosystem\ecosystem_dashboard.dart","1096","UnsafeTextInterpolation","MEDIUM","...opportunity.requirements.map((r) => Text('• $r')),"
"core\ecosystem\ecosystem_dashboard.dart","1104","UnsafeTextInterpolation","MEDIUM","...opportunity.risks.map((r) => Text('• $r')),"
"core\ecosystem\marketplace_dashboard.dart","659","UnsafeTextInterpolation","MEDIUM","child: Text('\$${price.toStringAsFixed(2)}'),"
"core\ecosystem\marketplace_dashboard.dart","802","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to create service: $e')),"
"core\ecosystem\marketplace_dashboard.dart","831","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to apply boost: $e')),"
"core\ecosystem\marketplace_service.dart","481","FirestoreDataAssertion","HIGH","final service = CreatorService.fromMap(serviceDoc.data()!);"
"core\ecosystem\marketplace_service.dart","708","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\ecosystem\partner_portal.dart","333","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to submit: $e')),"
"core\ecosystem\partner_portal.dart","1133","UnsafeTextInterpolation","MEDIUM","title: Text('\$${payout.amount.toStringAsFixed(2)}'),"
"core\ecosystem\partner_portal.dart","1231","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to request payout: $e')),"
"core\ecosystem\partner_program_service.dart","436","FirestoreDataAssertion","HIGH","final partner = Partner.fromMap(doc.data()!);"
"core\ecosystem\partner_program_service.dart","455","FirestoreDataAssertion","HIGH","return Partner.fromMap(doc.data()!);"
"core\ecosystem\partner_program_service.dart","496","FirestoreDataAssertion","HIGH","final partner = Partner.fromMap(doc.data()!);"
"core\ecosystem\partner_program_service.dart","794","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\empire\economy_dashboard.dart","763","UnsafeTextInterpolation","MEDIUM","child: Text('• $w'),"
"core\empire\economy_dashboard.dart","797","UnsafeTextInterpolation","MEDIUM","child: Text('• $r'),"
"core\empire\economy_dashboard.dart","1013","UnsafeTextInterpolation","MEDIUM","Text('${multiplier.toStringAsFixed(1)}x'),"
"core\empire\economy_dashboard.dart","1025","UnsafeTextInterpolation","MEDIUM","child: Text('$h hours'),"
"core\empire\empire_dashboard.dart","353","UnsafeTextInterpolation","MEDIUM","subtitle: Text('$users active users'),"
"core\empire\empire_insights_service.dart","460","UnsafePropertyToString","HIGH","return '${date.year}-${date.month.toString().padLeft(2, '0')}-${date.day.toString().padLeft(2, '0')}';"
"core\empire\empire_insights_service.dart","497","FirestoreDataAssertion","HIGH","final data = platformData.data()!;"
"core\empire\social_graph_ai.dart","425","InvalidIndexing","CRITICAL","return candidates.where((c) => seen.add(c['userId'] as String)).toList();"
"core\empire\social_graph_ai.dart","435","InvalidIndexing","CRITICAL","final userId = candidate['userId'] as String;"
"core\empire\trust_network_dashboard.dart","651","UnsafeTextInterpolation","MEDIUM","content: Text('Appeal ${decision.name}'),"
"core\empire\trust_network_dashboard.dart","659","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Error: $e')),"
"core\empire\trust_network_dashboard.dart","747","UnsafeTextInterpolation","MEDIUM","Text('${profile.confirmedViolations}'),"
"core\empire\trust_network_dashboard.dart","753","UnsafeTextInterpolation","MEDIUM","Text('${profile.appealsWon}'),"
"core\empire\trust_network_dashboard.dart","759","UnsafeTextInterpolation","MEDIUM","Text('${profile.appealsLost}'),"
"core\empire\trust_network_dashboard.dart","960","UnsafePropertyToString","HIGH","return '${dt.month}/${dt.day}/${dt.year} ${dt.hour}:${dt.minute.toString().padLeft(2, '0')}';"
"core\engagement\welcome_room_service.dart","49","FirestoreDataAssertion","HIGH","_cachedConfig = WelcomeRoomConfig.fromFirestore(doc.data()!);"
"core\enterprise\enterprise_dashboard.dart","561","UnsafeTextInterpolation","MEDIUM","Text('${room.participantCount}/${room.maxParticipants}'),"
"core\enterprise\enterprise_dashboard.dart","770","UnsafeTextInterpolation","MEDIUM","Text('$count (${percentage.toStringAsFixed(0)}%)'),"
"core\enterprise\enterprise_dashboard.dart","1012","UnsafeTextInterpolation","MEDIUM","title: Text('Invoice #${invoice.id}'),"
"core\enterprise\enterprise_dashboard.dart","1170","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to create room: $e')),"
"core\enterprise\enterprise_dashboard.dart","1181","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Opening room: ${room.title}')),"
"core\enterprise\enterprise_service.dart","583","FirestoreDataAssertion","HIGH","return Organization.fromMap(doc.data()!);"
"core\enterprise\enterprise_service.dart","893","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\enterprise\enterprise_service.dart","910","InvalidIndexing","CRITICAL","id: i['id'] as String,"
"core\future\future_modes_service.dart","269","InvalidIndexing","CRITICAL","name: template['name'] as String,"
"core\future\future_modes_service.dart","385","InvalidIndexing","CRITICAL","name: template['name'] as String,"
"core\future\future_modes_service.dart","498","InvalidIndexing","CRITICAL","name: template['name'] as String,"
"core\future\future_modes_service.dart","698","FirestoreDataAssertion","HIGH","final data = doc.data()!;"
"core\future\roadmap_dashboard.dart","534","UnsafeTextInterpolation","MEDIUM","Text('${idea.upvotes}'),"
"core\future\roadmap_dashboard.dart","613","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to generate roadmap: $e')),"
"core\future\roadmap_dashboard.dart","678","UnsafeTextInterpolation","MEDIUM","SnackBar(content: Text('Failed to submit: $e')),"
"core\growth\deep_link_service.dart","168","FirestoreDataAssertion","HIGH","final roomData = roomDoc.data()!;"
"core\growth\deep_link_service.dart","304","FirestoreDataAssertion","HIGH","final roomData = roomDoc.data()!;"
"core\growth\referral_service.dart","41","FirestoreDataAssertion","HIGH","return referralDoc.data()!['code'] as String;"
"core\growth\referral_service.dart","143","FirestoreDataAssertion","HIGH","final codeData = codeDoc.data()!;"
"core\growth\referral_service.dart","293","FirestoreDataAssertion","HIGH","final data = referralDoc.data()!;"
