"File","Line","Pattern","Severity","Code"
"home_simple.dart","296","UnsafeNetworkImage","HIGH","photoUrl != null ? NetworkImage(photoUrl) : null,"
"home_simple.dart","524","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(userPhoto),"
"core\liveops\creator_dashboard.dart","131","UnsafeNetworkImage","HIGH","? NetworkImage(profile['avatarUrl'])"
"core\performance\performance_utils.dart","132","UnsafeImageNetwork","HIGH","return Image.network("
"features\chat_room_page.dart","667","UnsafeImageUrlAssertion","CRITICAL","message.imageUrl!,"
"features\create_event_page.dart","225","UnsafeNetworkImage","HIGH","? NetworkImage(_selectedImagePath!) as ImageProvider"
"features\create_profile_page.dart","482","UnsafeNetworkImage","HIGH","image: NetworkImage(_profileImageUrl!),"
"features\create_profile_page.dart","482","UnsafeImageUrlAssertion","CRITICAL","image: NetworkImage(_profileImageUrl!),"
"features\event_details_page.dart","162","UnsafeNetworkImage","HIGH","image: NetworkImage(widget.event.imageUrl),"
"features\event_details_page.dart","381","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(user!.photos.first),"
"features\app\screens\matches_page.dart","271","UnsafeImageUrlAssertion","CRITICAL","match.photoUrl!,"
"features\app\screens\profile_edit_page.dart","184","UnsafeNetworkImage","HIGH","return NetworkImage(_selectedImage!.path);"
"features\app\screens\profile_edit_page.dart","188","UnsafeImageUrlAssertion","CRITICAL","} else if (_avatarUrl != null && _avatarUrl!.isNotEmpty) {"
"features\app\screens\profile_edit_page.dart","189","UnsafeNetworkImage","HIGH","return NetworkImage(_avatarUrl!);"
"features\app\screens\profile_edit_page.dart","189","UnsafeImageUrlAssertion","CRITICAL","return NetworkImage(_avatarUrl!);"
"features\chat\screens\chat_list_page.dart","68","UnsafeNetworkImage","HIGH","? NetworkImage(otherUser!.photos.first)"
"features\chat\screens\chat_list_page.dart","171","UnsafeNetworkImage","HIGH","otherUser?.photos.isNotEmpty == true ? NetworkImage(otherUser!.photos.first) : null,"
"features\chat\screens\chat_list_page.dart","198","UnsafeNetworkImage","HIGH","otherUser?.photos.isNotEmpty == true ? NetworkImage(otherUser!.photos.first) : null,"
"features\chat\screens\chats_list_page.dart","132","UnsafeNetworkImage","HIGH","otherUserPhoto != null ? NetworkImage(otherUserPhoto) : null,"
"features\discover_users\discover_users_page.dart","266","UnsafeNetworkImage","HIGH","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"features\discover_users\discover_users_page.dart","266","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"features\edit_profile\edit_profile_page.dart","468","UnsafeNetworkImage","HIGH","? NetworkImage('${user.avatarUrl}?t=${DateTime.now().millisecondsSinceEpoch}')"
"features\edit_profile\edit_profile_page.dart","636","UnsafeNetworkImage","HIGH","image: NetworkImage(_mediaUrls[index]),"
"features\events\screens\event_chat_page.dart","321","UnsafeNetworkImage","HIGH","backgroundImage: message.senderAvatarUrl != null ? NetworkImage(message.senderAvatarUrl!) : null,"
"features\events\screens\event_chat_page.dart","321","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: message.senderAvatarUrl != null ? NetworkImage(message.senderAvatarUrl!) : null,"
"features\events\screens\event_details_page.dart","60","UnsafeNetworkImage","HIGH","image: NetworkImage(event.imageUrl),"
"features\events\screens\event_details_page.dart","115","UnsafeNetworkImage","HIGH","backgroundImage: host.photoUrl != null ? NetworkImage(host.photoUrl!) : null,"
"features\events\screens\event_details_page.dart","115","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: host.photoUrl != null ? NetworkImage(host.photoUrl!) : null,"
"features\events\screens\event_details_page.dart","476","UnsafeNetworkImage","HIGH","backgroundImage: attendee.photoUrl != null ? NetworkImage(attendee.photoUrl!) : null,"
"features\events\screens\event_details_page.dart","476","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: attendee.photoUrl != null ? NetworkImage(attendee.photoUrl!) : null,"
"features\events\screens\event_details_screen.dart","303","UnsafeNetworkImage","HIGH","profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\events\screens\event_details_screen.dart","303","UnsafeImageUrlAssertion","CRITICAL","profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\feed\social_feed_page.dart","226","UnsafeNetworkImage","HIGH","? NetworkImage(post.userAvatar)"
"features\feed\social_feed_page.dart","310","UnsafeImageUrlAssertion","CRITICAL","if (post.imageUrl != null && post.imageUrl!.isNotEmpty)"
"features\feed\social_feed_page.dart","318","UnsafeImageUrlAssertion","CRITICAL","post.imageUrl!,"
"features\feed\social_feed_page.dart","591","UnsafeNetworkImage","HIGH","? NetworkImage(comment.userAvatar)"
"features\group_chat\screens\group_chat_room_page.dart","231","UnsafeNetworkImage","HIGH","backgroundImage: p.avatarUrl != null ? NetworkImage(p.avatarUrl!) : null,"
"features\group_chat\screens\group_chat_room_page.dart","231","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: p.avatarUrl != null ? NetworkImage(p.avatarUrl!) : null,"
"features\landing\landing_page.dart","669","UnsafeNetworkImage","HIGH","image: NetworkImage(profile['photoUrl']),"
"features\landing\landing_page.dart","815","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(dj['avatarUrl']),"
"features\leaderboards\leaderboards_page.dart","278","UnsafeNetworkImage","HIGH","profilePhoto != null ? NetworkImage(profilePhoto) : null,"
"features\matching\examples\matching_example.dart","112","UnsafeNetworkImage","HIGH","backgroundImage: match.userPhotoUrl != null ? NetworkImage(match.userPhotoUrl!) : null,"
"features\matching\examples\matching_example.dart","112","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: match.userPhotoUrl != null ? NetworkImage(match.userPhotoUrl!) : null,"
"features\matching\screens\matches_list_page.dart","178","UnsafeImageNetwork","HIGH","? Image.network("
"features\matching\screens\matches_list_page.dart","179","UnsafeImageUrlAssertion","CRITICAL","profile.profileImageUrl!,"
"features\matching\screens\matches_list_page.dart","278","UnsafeNetworkImage","HIGH","backgroundImage: profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\matching\screens\matches_list_page.dart","278","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\messages\chat_screen.dart","221","UnsafeImageNetwork","HIGH","child: Image.network("
"features\messages\messages_page.dart","597","UnsafeImageNetwork","HIGH","child: Image.network("
"features\messages\messages_page.dart","727","UnsafeImageNetwork","HIGH","child: Image.network("
"features\moderation\widgets\blocked_user_tile.dart","23","UnsafeNetworkImage","HIGH","backgroundImage: avatarUrl != null ? NetworkImage(avatarUrl!) : null,"
"features\moderation\widgets\blocked_user_tile.dart","23","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: avatarUrl != null ? NetworkImage(avatarUrl!) : null,"
"features\profile\profile_page.dart","200","UnsafeNetworkImage","HIGH","? NetworkImage('${user.avatarUrl}?t=${DateTime.now().millisecondsSinceEpoch}')"
"features\profile\user_profile_page.dart","136","UnsafeImageNetwork","HIGH","child: Image.network("
"features\profile\screens\edit_profile_page.dart","277","UnsafeNetworkImage","HIGH","? NetworkImage(profile.photoUrl!)"
"features\profile\screens\edit_profile_page.dart","277","UnsafeImageUrlAssertion","CRITICAL","? NetworkImage(profile.photoUrl!)"
"features\profile\screens\followers_list_page.dart","113","UnsafeNetworkImage","HIGH","follower.photos.isNotEmpty ? NetworkImage(follower.photos.first) : null,"
"features\profile\screens\following_list_page.dart","113","UnsafeNetworkImage","HIGH","user.photos.isNotEmpty ? NetworkImage(user.photos.first) : null,"
"features\profile\screens\profile_page.dart","81","UnsafeNetworkImage","HIGH","backgroundImage: user.avatarUrl.isNotEmpty ? NetworkImage(user.avatarUrl) : null,"
"features\profile\screens\profile_page.dart","165","UnsafeNetworkImage","HIGH","image: NetworkImage(user.recentMediaUrls[index]),"
"features\profile\screens\suggested_users_page.dart","129","UnsafeNetworkImage","HIGH","user.photos.isNotEmpty ? NetworkImage(user.photos.first) : null,"
"features\profile\screens\user_discovery_page_new.dart","154","UnsafeNetworkImage","HIGH","image: NetworkImage(photoUrl),"
"features\profile\screens\user_discovery_page.dart","163","UnsafeNetworkImage","HIGH","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"features\profile\screens\user_discovery_page.dart","163","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: user.photoUrl != null ? NetworkImage(user.photoUrl!) : null,"
"features\profile\screens\user_profile_page.dart","101","UnsafeNetworkImage","HIGH","profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\profile\screens\user_profile_page.dart","101","UnsafeImageUrlAssertion","CRITICAL","profile.profileImageUrl != null ? NetworkImage(profile.profileImageUrl!) : null,"
"features\room\screens\voice_room_page.dart","1638","UnsafeNetworkImage","HIGH","backgroundImage: participant.avatarUrl != null ? NetworkImage(participant.avatarUrl!) : null,"
"features\room\screens\voice_room_page.dart","1638","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: participant.avatarUrl != null ? NetworkImage(participant.avatarUrl!) : null,"
"features\room\widgets\dynamic_video_grid.dart","267","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(tile.avatarUrl!),"
"features\room\widgets\dynamic_video_grid.dart","267","UnsafeImageUrlAssertion","CRITICAL","backgroundImage: NetworkImage(tile.avatarUrl!),"
"features\settings\blocked_users_page.dart","159","UnsafeNetworkImage","HIGH","backgroundImage: photoUrl != null ? NetworkImage(photoUrl) : null,"
"features\settings\screens\settings_page.dart","37","UnsafeNetworkImage","HIGH","? NetworkImage(currentUser!.photoUrl!) as ImageProvider"
"features\settings\screens\settings_page.dart","37","UnsafeImageUrlAssertion","CRITICAL","? NetworkImage(currentUser!.photoUrl!) as ImageProvider"
"features\speed_dating\screens\speed_dating_call_page.dart","286","UnsafeNetworkImage","HIGH","? NetworkImage(_matchedUserPhoto!)"
"features\speed_dating\screens\speed_dating_call_page.dart","326","UnsafeNetworkImage","HIGH","? NetworkImage(_matchedUserPhoto!)"
"features\speed_dating\screens\speed_dating_decision_page.dart","121","UnsafeNetworkImage","HIGH","? NetworkImage(widget.matchedUserPhoto!)"
"features\video_room\widgets\participant_card_widget.dart","176","UnsafeImageUrlAssertion","CRITICAL","widget.participant.avatarUrl!,"
"features\video_room\widgets\presence_card.dart","183","UnsafeImageNetwork","HIGH","child: Image.network("
"features\video_room\widgets\presence_card.dart","184","UnsafeImageUrlAssertion","CRITICAL","widget.avatarUrl!,"
"features\voice_room\widgets\enhanced_chat_widget.dart","301","UnsafeNetworkImage","HIGH","backgroundImage: message.userAvatarUrl.isNotEmpty ? NetworkImage(message.userAvatarUrl) : null,"
"features\voice_room\widgets\user_presence_widget.dart","33","UnsafeNetworkImage","HIGH","backgroundImage: presence.avatarUrl.isNotEmpty ? NetworkImage(presence.avatarUrl) : null,"
"features\voice_room\widgets\user_presence_widget.dart","286","UnsafeNetworkImage","HIGH","backgroundImage: presence.avatarUrl.isNotEmpty ? NetworkImage(presence.avatarUrl) : null,"
"shared\widgets\chat_box_widget.dart","646","UnsafeNetworkImage","HIGH","backgroundImage: NetworkImage(avatarUrl),"
"shared\widgets\events_widgets.dart","216","UnsafeNetworkImage","HIGH","image: NetworkImage(displayProfiles[i].photoUrl!),"
"shared\widgets\events_widgets.dart","216","UnsafeImageUrlAssertion","CRITICAL","image: NetworkImage(displayProfiles[i].photoUrl!),"
"shared\widgets\friend_card_widget.dart","188","UnsafeNetworkImage","HIGH","? NetworkImage(widget.friend.avatarUrl!)"
"shared\widgets\friend_card_widget.dart","188","UnsafeImageUrlAssertion","CRITICAL","? NetworkImage(widget.friend.avatarUrl!)"
"shared\widgets\friends_list_panel.dart","357","UnsafeNetworkImage","HIGH","? NetworkImage(avatarUrl)"
