"File","Line","Severity","Pattern","Code","Description","Fix"
"lib\auth_gate.dart","23","CRITICAL","NullAssertion","final user = snapshot.data!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\auth_gate.dart","48","CRITICAL","NullAssertion","if (profileSnapshot.hasData && profileSnapshot.data!.exists) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\auth_gate.dart","49","CRITICAL","NullAssertion","final profileData = profileSnapshot.data!.data() as Map<String, dynamic>?;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\home_simple.dart","276","CRITICAL","NullAssertion","final userData = snapshot.data!.data() as Map<String, dynamic>?;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\home_simple.dart","429","CRITICAL","NullAssertion","if (!snapshot.hasData || snapshot.data!.docs.isEmpty) {","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\home_simple.dart","461","CRITICAL","NullAssertion","final activityDoc = snapshot.data!.docs.first;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\login_simple.dart","51","HIGH","UnsafeToString","_errorMessage = 'Login failed: ${e.toString()}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\main.dart","32","CRITICAL","NullAssertion","debugPrint('Handling background message: ${message.notification!.title}');","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\PHASE_11_STABILITY_USAGE_EXAMPLES.dart","30","MEDIUM","StringInterpolation","builder: (user) => Text('Hello ${user.name}'),","String interpolation in Text() that may be null","Use ${variable ?? ""default""} or ${variable?.toString()}"
"lib\signup_simple.dart","60","HIGH","UnsafeToString","_errorMessage = 'Signup failed: ${e.toString()}';","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\config\production_initializer.dart","89","CRITICAL","NullAssertion","await analytics.setUserId(id: FirebaseAuth.instance.currentUser!.uid);","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\controllers\agora_room_controller.dart","165","HIGH","UnsafeToString","_joinFlow.setError(e.toString());","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\controllers\room_video_state_controller.dart","31","CRITICAL","NullAssertion","final data = snapshot.data()!;","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\health_check_system.dart","84","HIGH","UnsafeToString","_addResult('Firebase Core', false, e.toString(), stopwatch.elapsed);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","96","HIGH","UnsafeToString","_addResult('Firebase Auth', false, e.toString(), stopwatch.elapsed);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","112","HIGH","UnsafeToString","_addResult('Firestore Database', false, e.toString(), stopwatch.elapsed);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","124","HIGH","UnsafeToString","_addResult('Agora RTC Engine', false, e.toString(), stopwatch.elapsed);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","141","HIGH","UnsafeToString","_addResult('Provider Registration', false, e.toString(), stopwatch.elapsed);","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","165","HIGH","UnsafeToString","final errorString = e.toString().toLowerCase();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\health_check_system.dart","226","HIGH","UnsafeToString","debugPrint('  ${result.toString()}');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils.dart","8","HIGH","UnsafeToString","String twoDigits(int n) => n.toString().padLeft(2, '0');","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils.dart","17","HIGH","UnsafeToString","if (count < 1000) return count.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\utils.dart","94","CRITICAL","NullAssertion","timer!.cancel();","Null assertion operator (!) that can crash","Replace ! with ?? or add null check"
"lib\core\automation\automation_service.dart","164","HIGH","UnsafeToString","error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\automation\automation_service.dart","228","HIGH","UnsafeToString","error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\automation\automation_service.dart","299","HIGH","UnsafeToString","error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
"lib\core\automation\automation_service.dart","373","HIGH","UnsafeToString","error = e.toString();","Calling .toString() without null-safety","Use ?.toString() or add ?? ""default"""
